PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,PTS_per_min,AST_per_min,STL_per_min,REB_per_min,PLUS_MINUS_per_min,value_score,hidden_gem_score
1630191,Isaiah Stewart,Isaiah,1610612765,DET,24.0,72,38,34,0.528,19.9,2.4,4.4,0.559,0.2,0.7,0.321,0.9,1.2,0.759,1.8,3.7,5.5,1.7,0.9,0.4,1.4,0.2,2.5,1.3,6.0,0.1,19.7,2,0,17.1,95,110,124,250,272,318,368,63,442,463,339,278,278,297,71,116,106,253,268,412,18,426,49,246,340,226,228,159,44,265,1,0.30150753768844224,0.08542713567839197,0.020100502512562818,0.2763819095477387,0.1,2.150959798994975,1.0152530251256282
1642266,Ja'Kobe Walter,Ja'Kobe,1610612761,TOR,20.0,52,19,33,0.365,21.2,3.1,7.6,0.405,1.3,3.6,0.349,1.3,1.6,0.795,1.1,1.9,3.1,1.6,1.0,0.8,0.2,0.8,1.8,1.4,8.6,-1.6,16.8,1,0,16.6,267,302,130,418,249,250,216,435,199,202,248,203,220,228,156,350,293,279,264,186,372,75,214,222,247,386,287,198,44,272,1,0.4056603773584906,0.07547169811320756,0.03773584905660378,0.14622641509433962,-1.6,-1.2053773584905663,-0.7654146226415096
1630702,Jaden Hardy,Jaden,1610612742,DAL,22.0,57,30,27,0.526,15.9,3.2,7.3,0.435,1.3,3.5,0.386,1.1,1.5,0.698,0.2,1.4,1.6,1.4,1.4,0.5,0.1,0.4,1.6,1.2,8.7,-1.1,13.0,0,0,14.2,232,196,222,251,350,241,229,332,188,212,121,250,229,396,531,413,449,304,146,364,473,214,286,264,241,356,359,281,44,326,1,0.5471698113207547,0.0880503144654088,0.031446540880503145,0.10062893081761007,-1.1,0.21613207547169772,0.10244660377358471
1631170,Jaime Jaquez Jr.,Jaime,1610612748,MIA,24.0,66,32,34,0.485,20.7,3.2,7.0,0.461,0.6,1.8,0.311,1.6,2.2,0.754,1.3,3.1,4.4,2.5,1.5,0.9,0.2,0.9,1.2,1.5,8.6,-2.3,19.6,3,1,18.4,156,179,124,303,261,232,243,237,353,357,359,152,150,306,130,181,164,158,141,141,353,39,371,200,246,428,229,134,20,239,1,0.41545893719806765,0.12077294685990339,0.04347826086956522,0.21256038647342998,-2.3,-2.35156038647343,-1.2110535990338165
1631222,Jake LaRavia,Jake,1610612758,SAC,23.0,66,40,26,0.606,20.4,2.4,5.1,0.475,0.9,2.2,0.423,1.2,1.7,0.678,1.4,2.6,3.9,2.4,1.3,0.9,0.3,0.4,2.0,1.4,6.9,1.9,17.8,2,0,16.7,156,89,237,163,263,322,325,195,283,321,41,216,200,429,114,252,198,165,177,131,245,227,169,227,301,125,264,159,44,270,2,0.3382352941176471,0.11764705882352941,0.04411764705882353,0.1911764705882353,1.9,5.804411764705882,2.2869382352941177
1630188,Jalen Smith,Jalen,1610612741,CHI,25.0,64,28,36,0.438,15.0,3.0,6.4,0.466,1.1,3.5,0.324,1.1,1.4,0.809,1.4,4.2,5.6,1.0,0.6,0.3,0.7,0.2,1.5,1.3,8.2,-0.6,18.7,4,0,17.8,170,220,106,357,366,262,273,223,229,211,328,230,250,203,112,90,102,382,392,467,91,381,317,242,261,290,251,116,44,248,1,0.5466666666666666,0.06666666666666667,0.02,0.3733333333333333,-0.6,1.4526666666666666,0.8163986666666667
1642347,Jamal Shead,Jamal,1610612761,TOR,22.0,75,28,47,0.373,19.6,2.7,6.7,0.405,1.0,3.0,0.323,0.7,0.9,0.768,0.4,1.1,1.5,4.2,1.6,0.8,0.1,0.4,2.1,1.3,7.1,-3.1,16.4,1,0,15.6,59,220,29,409,282,285,256,434,275,256,335,340,346,277,427,453,450,78,129,213,429,233,149,238,291,464,293,198,44,292,1,0.36224489795918363,0.21428571428571427,0.04081632653061224,0.07653061224489795,-3.1,-4.121530612244898,-2.5841996938775513
1642419,Jamison Battle,Jamison,1610612761,TOR,24.0,59,21,38,0.356,17.7,2.5,5.9,0.429,1.8,4.4,0.405,0.3,0.3,0.889,0.6,2.1,2.7,0.9,0.5,0.3,0.2,0.2,1.6,0.4,7.1,-3.1,12.6,0,0,13.4,218,280,85,426,318,306,293,352,119,148,70,479,506,54,326,335,345,412,435,462,396,364,294,464,292,461,369,281,44,341,1,0.4011299435028249,0.05084745762711865,0.01694915254237288,0.15254237288135594,-3.1,-4.279474576271186,-2.755981627118644
1641716,Jarace Walker,Jarace,1610612754,IND,21.0,75,45,30,0.6,15.8,2.3,4.8,0.472,1.0,2.5,0.405,0.6,0.9,0.667,0.3,2.7,3.1,1.5,1.0,0.7,0.3,0.1,1.5,0.8,6.1,-1.9,14.1,0,0,13.8,59,56,176,168,352,343,344,206,257,302,70,367,346,438,456,232,296,292,239,235,248,451,307,341,338,405,334,281,44,335,1,0.38607594936708856,0.09493670886075949,0.044303797468354424,0.1962025316455696,-1.9,-1.6950886075949367,-0.6780354430379747
1630215,Jared Butler,Jared,1610612755,PHI,24.0,60,6,54,0.1,17.4,3.4,7.6,0.448,1.0,2.8,0.355,1.3,1.5,0.824,0.4,1.4,1.8,3.7,1.3,0.7,0.2,0.6,1.6,1.2,9.0,-2.2,18.1,1,0,17.4,206,473,8,551,326,212,217,283,257,269,225,205,228,155,421,412,419,98,169,245,344,115,274,253,223,423,261,198,44,259,2,0.5172413793103449,0.21264367816091956,0.040229885057471264,0.10344827586206898,-2.2,-1.7910804597701153,-1.6119724137931037
